Compound name,Mass,RT,C18,1C18-Ani,1C18-Cat,C8,1C8-Ani,1C8-Cat,Ani1,Ani2,Ani3,2C18-Ani,2C8-Ani,2GP-Ani,2SH-Ani,Cat1,Cat2,Cat3,2C18-Cat,2C8-Cat,2GP-Cat,2SH-Cat,1SH-Ani,1SH-Cat,1GP-Ani,1GP-Cat
Cpd116,1193.52,11.04,467970.9659,546068.1922,433102.2049,79845.14357,155359.9481,94655.90281,694943.7194,734586.289,781681.1927,818670.6917,1149498.808,1146636.647,166147.5735,395689.1061,454586.0861,462911.244,,556346.7276,465982.4599,,1159834.004,911954.84,,
Cpd117,481.317,22.37,266453.2735,536349.9396,281278.9714,235650.9295,510875.997,,,,,,,,,,,,,,,,1765598.593,1772308.796,1493944.337,1828413.721
Cpd118,794.163,26.26,,,,,,,,,,,,,,,,,,,,,1270041.71,168984.1425,1005905.295,495746.5306
Cpd119,503.278,20.03,92387.06312,1011370.783,97487.2836,,897971.2004,,,,,,,,,,,,,,,,1317087.212,570431.4439,294525.0502,989364.7435
Cpd120,192.027,3,,,,,,,1510000.589,1471648.404,924252.3474,161067.9953,914746.0661,734609.6275,93814.89082,,,,,,,,,,,
Cpd121,1004.678,25.1,185267.6335,281240.8348,151919.7712,110516.9137,263830.4129,66131.0546,,,,,,,,,,,,,,,614894.7226,630328.2849,1003584.972,1282891.204
Cpd122,637.356,25.64,1533923.105,1168685.785,1359853.709,1437221.692,1141037.411,1420568.944,,,,,,,,,153249.7429,161662.936,,,,,1136893.648,1746622.558,1505044.337,1503696.194
Cpd123,555.309,21.35,,342261.9435,,,295305.9373,,,,,,,,,,,,,,,,1231889.494,444892.7664,247571.3978,896368.2128
Cpd124,136.052,8.7,,,,,,,834283.2644,974657.8494,1049791.981,1117644.442,1331398.593,260883.1014,291176.2663,,,,,,,,230223.7742,240541.2104,,
Cpd125,613.337,21.43,1363654.861,954265.4089,1306019.532,1421677.147,1072204.102,1262807.649,,,,,,,,,,,,,,,993629.3768,1171771.276,938686.5631,1020481.384
Cpd126,481.316,24.58,55517.07692,116059.263,101656.3627,50844.20824,200071.0804,,,,,,,,,,87885.45272,81099.23233,,,,,334610.3483,315445.6548,611521.3638,597858.3189
Cpd127,435.879,1.73,501017.767,412958.2035,495420.9157,400247.3424,380393.6468,391711.5765,68796.89284,59508.50233,44451.0568,818788.9002,649145.1035,763032.0345,371925.5215,,,,,,,,1122219.251,1121218.821,988620.3529,1040417.2
Cpd128,1084.669,21.23,895159.4584,862061.1593,855888.649,594299.6061,773234.5563,421494.4299,,,,,,,,,,,,,,,884427.2828,1057731.862,950550.0534,968109.321
Cpd129,970.365,11.47,86064.62679,67660.56568,101466.7277,,,,727480.8803,735026.2726,705073.4477,993537.7212,1186761.946,998497.8576,,174626.4805,236287.3238,185804.0263,,312264.0142,161126.3263,,1005125.041,912316.9108,,
Cpd130,557.332,20.33,572837.0367,630768.5096,540898.9396,403753.4316,495464.9344,289242.8172,,,,,,,,,,,,,,,443687.9398,792414.8224,597071.6434,642198.0712
Cpd131,1086.684,22.4,570774.9425,829738.4105,456841.268,1391256.066,1087756.177,363827.4178,,,,,,,,,,,,,,,552004.8364,656698.8628,1164035.726,794348.2017
Cpd132,740.18,25.55,40179.0217,515549.5827,115402.4782,,456515.4726,,,,,,,,,,,,,,,,606405.4479,187853.7115,625365.7649,126961.5573
Cpd133,377.233,18.66,752811.5808,520371.3719,704933.8893,588967.3249,754998.6231,615912.2439,,,,,,,,,,,,,,,566529.4956,710617.256,891227.7608,1138912.12
Cpd134,509.347,25.66,533736.1887,866283.4915,463134.9158,398780.7602,802823.2452,374916.1066,,,,,,,,,,,,,,,1129469.004,1054638.116,1025469.574,1452246.731
Cpd135,533.307,22.66,,971779.3579,,,1016998.558,,,,,,,,,,,,,,,,1071526.499,160675.5511,213367.7367,1081723.717
Cpd136,1106.488,11.12,373800.5396,431948.8317,418054.6542,85444.89635,136501.3754,64487.20172,645717.2985,806830.3443,703671.3447,701958.1815,980451.9424,563717.9877,200186.7354,262941.8247,342401.0953,358062.5171,,471246.8588,325471.2012,,955274.2553,711939.2597,,
Cpd137,1084.703,25.56,,591926.6115,,,510109.1026,,,,,,,,,,,,,,,,877731.8516,406629.9428,297651.782,1007550.3
Cpd138,521.918,1.96,,,,189237.916,130176.8311,150949.5152,,13432.8931,42729.04769,,19605.81995,37289.15822,,703156.3586,817336.5467,851610.8453,3746949.038,682206.8146,1003472.127,747618.9362,156203.6403,197658.7322,32252.68161,64738.25584
Cpd139,772.472,11.56,1103149.151,615998.9893,1058686.941,567635.2559,686940.6594,1092925.264,711744.6584,762533.1827,796660.0151,,,,,406859.2482,478407.7861,796526.8021,,,371709.9373,,,,,
Cpd140,657.892,1.97,,,,148312.3785,111730.8831,127409.9394,5031.062599,6713.891994,26017.13624,1612.313255,13018.8533,26462.60992,6887.855255,643998.6663,653850.3151,754036.4815,978744.6712,502909.7954,985921.406,629548.1032,140621.0944,174445.7379,26695.94952,56736.76948
Cpd141,513.307,19.82,618772.1905,708996.5624,636251.0892,384355.929,595006.4569,224252.4543,,,,,,,,,60950.08749,55670.89105,,,,,681028.3697,773685.786,664677.8432,658617.4699
Cpd142,1019.502,9.86,608871.6149,970759.0284,711509.4805,189139.5214,434589.1445,268257.505,989631.2629,1066026.634,1101836.003,347363.5948,846772.8063,924761.3666,885151.8654,9936.099571,25546.77721,74179.05699,20427.06672,,31727.99308,,272121.2695,161290.749,,
Cpd143,856.323,11.78,50813.1339,55528.33147,68484.47338,,,,470401.4688,509493.6823,482381.0025,792277.9432,951923.5734,665331.1208,31425.08271,137439.5383,151678.0738,151182.4024,,229367.7698,104127.2902,,888874.8502,676380.7431,,
Cpd144,419.902,1.7,333841.2047,272081.7549,318125.2608,284968.1945,274475.5474,271578.1794,31107.89682,22474.98509,14894.54794,508626.1451,375448.7924,432024.6137,216737.4111,,,,,,,,813230.5853,811747.864,586542.5363,644837.2501
