Compound name,Mass,RT,C18,1C18-Ani,1C18-Cat,C8,1C8-Ani,1C8-Cat,Ani1,Ani2,Ani3,2C18-Ani,2C8-Ani,2GP-Ani,2SH-Ani,Cat1,Cat2,Cat3,2C18-Cat,2C8-Cat,2GP-Cat,2SH-Cat,1SH-Ani,1SH-Cat,1GP-Ani,1GP-Cat
Cpd1,495.332,23,235516022.4,341222387.2,251914251,197840006.3,291603004,235722619.8,395061.3559,409368.6921,400461.2459,227465.5312,250725.4406,,,1236666.152,3121604.365,2494856.191,970976.3805,894798.4337,,,481759034.2,440381112.3,385881774.5,442004915.4
Cpd2,523.365,26.07,68299976.48,76746243.35,74258866.82,66834897.57,125416096.5,108738374.3,,,,,,,,,4192094.13,3046667.054,856034.2121,377140.7459,,,359840948.8,299295612,252565576.8,297022302.3
Cpd3,521.349,23.66,86199778.93,185718870.7,157774889.4,87513017.06,190335090.3,152401400.6,,,,,,,,263711.1792,703649.5134,492073.4836,206867.9544,221311.6763,,,278946526.5,233828843.6,232903740.2,240366829
Cpd4,519.334,22,177227238.4,250752668.6,226456474.8,123922689.4,206743893.2,197731440.3,,,,,,,,1743291.884,2808613.371,1239510.566,264933.768,486098.7305,,,241357258.2,212729548.2,217808212.8,197425350.4
Cpd5,495.333,22.61,59903446.34,72414676.5,59189725.34,40777144.99,63462501.47,48404010.64,,69123.87774,,,,,,180376.3916,314571.2442,283870.2513,102744.3681,125225.9575,,,101289149,86003549.6,103565205.6,84070576.39
Cpd6,99.068,4.22,,,,,,,837529.5323,812645.9864,1397999.673,81314880.05,8761170.471,1048248.68,1925741.111,3400063.101,9557680.645,9815406.975,104610184.8,6294352.264,5234371.977,2122778.821,,,,
Cpd7,187.064,8.86,1277489.803,46773967.7,46809037.6,591735.5945,370827.71,491431.7679,3587671.184,5874526.636,6758166.737,25895543.7,13715485.53,395691.5537,658582.1396,995150.8722,3031642.921,,28335.42705,2519821.078,40578.48626,7464653.738,71328.39717,,112758.176,463559.3274
Cpd8,519.333,22.01,249634894.6,343518517.7,306607183.2,156537698.7,247160009.7,204599978.3,,,,,,,,1970053.529,2267230.281,1503479.857,230735.8185,370472.4871,,,294623864.9,266045681.8,349604973.6,264017168.2
Cpd9,99.068,4.36,,42023101.79,51017888.05,,,,609889.8175,1209892.156,1319636.369,76930321.98,8274399.977,1333814.114,2041133.503,3153065.765,10239885.4,8798674.388,107367655.2,5466436.372,7292713.246,2431179.103,,,,
Cpd10,523.365,25.53,2635146.414,2325006.482,7347386.702,8279006.926,11171497.07,10028537.39,,,,3219.720225,,,,,423844.9026,186984.3317,,,,,37076720.78,30384209.06,41326357.06,31550050.39
