Positive adduct,Negative adduct,Diffmass
M+H,M-H2O-H,18.011114
M+NH4,M-H2O-H,35.037661
M+Na,M-H2O-H,39.993056
M+H,M-CH2-H,14.015824
M+NH4,M-CH2-H,31.042371
M+Na,M-CH2-H,35.997766
M+H,M-H,-1.95E-14
M+NH4,M-H,17.026547
M+Na,M-H,21.981942
M+H,M+Cl,-35.976678
M+NH4,M+Cl,-18.950131
M+Na,M+Cl,-13.994736
M+H,M+FA-H,-46.005477
M+NH4,M+FA-H,-28.97893
M+Na,M+FA-H,-24.023535
